player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG,season
2180,Verza,33,2853,4,3.4044531863182783,3,3.139604752883315,19,45,M,Almeria,1,0.4313415978103876,2014/15
2198,Moi Gómez,31,1614,4,3.488141288049519,4,4.50941164419055,28,29,M S,Villarreal,4,3.488141288049519,2014/15
2201,Yoda,18,1034,4,1.9979462083429098,1,0.6231799982488155,27,13,M S,Getafe,4,1.9979462083429098,2014/15
2233,Xabi Prieto,35,2988,4,3.2240220801904798,6,4.763317442499101,32,49,M S,Real Sociedad,2,1.7374662579968572,2014/15
2246,Sergio Ramos,27,2257,4,3.986795000731945,1,0.5360918985679746,28,8,D M,Real Madrid,4,3.986795000731945,2014/15
2255,Isco,34,2348,4,4.383783545345068,9,6.761615425348282,44,54,M S,Real Madrid,4,4.383783545345068,2014/15
2266,Saúl Ñíguez,24,1052,4,2.1932935062795877,2,2.434105698019266,17,10,M S,Atletico Madrid,4,2.1932935062795877,2014/15
2318,Fede Cartabia,30,2168,4,3.1529800333082676,5,3.9454344268888235,61,43,F M S,Cordoba,4,2.409702431410551,2014/15
2323,Oriol Riera,21,1515,4,5.460120709612966,1,1.813255688175559,51,19,F S,Deportivo La Coruna,4,5.460120709612966,2014/15
2328,Thomas Partey,31,2372,4,2.9416755912825465,0,0.4580264072865248,32,11,F M S,Almeria,4,2.9416755912825465,2014/15
2342,Gonzalo Castro,32,1837,4,1.8244134029373527,4,4.148186249658465,41,36,F M S,Real Sociedad,4,1.8244134029373527,2014/15
2383,André Gomes,33,2562,4,3.3489319030195475,1,2.567201813682914,38,25,M S,Valencia,4,3.3489319030195475,2014/15
2471,Víctor Rodríguez,36,2894,4,4.105442985892296,2,3.780787075869739,39,40,F M S,Elche,4,4.105442985892296,2014/15
2494,Denis Cheryshev,26,1698,4,5.430410465225577,9,7.296612054109573,65,34,F M S,Villarreal,4,5.430410465225577,2014/15
2554,Thievy,29,1787,4,5.2627004738897085,1,1.3544670790433884,32,15,F M S,Almeria,4,5.2627004738897085,2014/15
2571,Sergio Canales,36,2564,4,4.253075687214732,3,1.9599994579330087,56,32,F M S,Real Sociedad,4,4.253075687214732,2014/15
2621,Sergi Darder,34,2776,4,4.829602296464145,0,2.164819674566388,60,24,M S,Malaga,4,4.829602296464145,2014/15
4096,Stéphane Mbia,23,1461,4,3.1052822982892394,0,0.2528495043516159,23,6,M S,Sevilla,4,3.1052822982892394,2014/15
4129,Toché,25,979,4,4.208418998867273,1,0.39582738745957613,20,4,F S,Deportivo La Coruna,4,4.208418998867273,2014/15
1134,Mario Pasalic,31,2205,3,4.44716268312186,0,1.3959706146270037,30,11,M S,Elche,3,4.44716268312186,2014/15
1507,Miranda,23,2027,3,1.1391716822981834,2,0.7547261975705624,6,6,D,Atletico Madrid,3,1.1391716822981834,2014/15
1520,Éver Banega,34,2194,3,1.930123969912529,3,5.156251294538379,35,43,M S,Sevilla,3,1.930123969912529,2014/15
2084,Fran Rico,31,2547,3,2.602925658226013,1,1.8934278953820467,20,40,M S,Granada,1,1.116369605064392,2014/15
2113,Víctor Sánchez,34,2576,3,2.3968170853331685,3,1.6413924051448703,23,18,M S,Espanyol,3,2.3968170853331685,2014/15
2125,Ander Capa,34,2422,3,2.8578479941934347,1,2.241287076845765,33,20,F M S,Eibar,3,2.8578479941934347,2014/15
2134,Saúl Berjón,34,2414,3,3.441035544499755,7,5.985013026744127,55,43,F M S,Eibar,3,3.441035544499755,2014/15
2166,Adrián Embarba,14,830,3,1.3547230139374733,3,1.1646332060918212,22,11,M S,Rayo Vallecano,3,1.3547230139374733,2014/15
2186,Morales,36,2800,3,2.703326692804694,3,3.0868349811062217,43,39,D F M S,Levante,3,2.703326692804694,2014/15
2253,Lucas Vázquez,33,2751,3,4.099908887408674,6,5.402851131744683,37,53,M S,Espanyol,3,4.099908887408674,2014/15
2256,Jesé,16,524,3,1.5849169418215752,2,1.8653875049203634,9,10,F S,Real Madrid,3,1.5849169418215752,2014/15
2264,Diego Godín,34,3060,3,3.0914465878158808,0,1.7506865859031677,24,5,D,Atletico Madrid,3,3.0914465878158808,2014/15
2271,Fernando Torres,19,884,3,2.759656500071287,1,1.3512333258986473,23,6,F S,Atletico Madrid,3,2.759656500071287,2014/15
2296,Mario,34,2834,3,3.2726499140262604,2,1.3771335110068321,35,23,D M S,Villarreal,3,3.2726499140262604,2014/15
2339,Charles,28,1098,3,5.74251408688724,1,1.4352815076708794,28,14,F S,Celta Vigo,3,5.74251408688724,2014/15
2341,Roque Santa Cruz,12,914,3,2.4913605134934187,1,0.49979879800230265,25,10,F S,Malaga,3,2.4913605134934187,2014/15
2377,Javi Fuego,35,3007,3,0.5582952918484807,1,1.0493710227310658,9,5,M S,Valencia,3,0.5582952918484807,2014/15
2381,Rodrigo,31,2083,3,6.729401335120201,4,2.9722642712295055,54,29,F M S,Valencia,2,5.986251555383205,2014/15
2406,Mikel Rico,36,2801,3,2.296624569222331,2,0.6947248140349984,33,19,M S,Athletic Club,3,2.296624569222331,2014/15
2441,Reyes,19,1229,3,3.737301530316472,4,4.348616920411587,30,36,M S,Sevilla,3,3.737301530316472,2014/15
2466,Celso Borges,17,1479,3,2.9375813035294414,0,0.7641212996095419,23,16,M,Deportivo La Coruna,2,2.194299283437431,2014/15
2484,Iñigo Martínez,34,3030,3,2.567494177259505,0,0.5778575967997313,20,5,D,Real Sociedad,3,2.567494177259505,2014/15
2495,Mateo Musacchio,14,1134,3,0.7646884918212891,0,0.35622629150748253,5,2,D S,Villarreal,3,0.7646884918212891,2014/15
2563,Diego Mainz,23,1721,3,1.7993528507649899,0,0.24523707013577223,10,3,D S,Granada,3,1.7993528507649899,2014/15
3683,Ivan Cavaleiro,34,2399,3,4.144961875863373,3,2.448333702981472,41,36,F M S,Deportivo La Coruna,3,3.4016848923638463,2014/15
4048,Fernando Soriano,28,1442,3,2.860949795693159,1,1.0286480290815234,33,15,M S,Almeria,3,2.860949795693159,2014/15
4094,Diego Castro,32,2268,3,3.7812469378113747,0,1.4686740264296532,39,21,F M S,Getafe,3,3.037968911230564,2014/15
4109,Edu Albácar,18,1438,3,1.3189607774838805,3,0.8740309029817581,14,13,D S,Elche,2,0.5756827956065536,2014/15
4157,Manu del Moral,28,1703,3,2.9729767851531506,1,2.1744825430214405,46,12,F M S,Eibar,3,2.9729767851531506,2014/15
1219,Luis Alberto,15,572,2,2.3057725951075554,1,0.880165196955204,19,16,M S,Malaga,2,1.562495581805706,2014/15
2064,Sergio Escudero,30,2212,2,1.566278294660151,2,1.4671832099556923,39,15,D M S,Getafe,2,1.566278294660151,2014/15
2073,Coke,22,1818,2,1.660992180928588,3,3.3594459630548954,20,15,D S,Sevilla,2,1.660992180928588,2014/15
2079,Rubén Rochina,19,1128,2,3.657433895394206,1,0.7823962941765785,41,12,M S,Granada,2,3.657433895394206,2014/15
2081,Isaac Cuenca,27,1482,2,2.2881990615278482,2,1.1277902834117413,29,16,M S,Deportivo La Coruna,1,1.5449210796505213,2014/15
2101,Jeremy Mathieu,28,2103,2,1.0263464795425534,0,1.4110260903835297,11,5,D S,Barcelona,2,1.0263464795425534,2014/15
2102,Arda Turan,32,2349,2,2.755209781229496,4,4.508590884506702,27,36,F M S,Atletico Madrid,2,2.755209781229496,2014/15
2170,Miku,7,218,2,1.6298750285059214,0,0.8774552661925554,7,7,F S,Rayo Vallecano,2,1.6298750285059214,2014/15
2195,Mehdi Lacen,30,2601,2,0.6226038057357073,2,0.7796162962913513,17,26,M S,Getafe,2,0.6226038057357073,2014/15
2197,Pedro León,25,1468,2,3.8521553203463554,5,2.913926398381591,45,28,M S,Getafe,2,3.8521553203463554,2014/15
2199,Pablo Sarabia,35,2607,2,3.6835854947566986,5,7.429162478074431,45,69,F M S,Getafe,2,3.6835854947566986,2014/15
2230,David Zurutuza,16,996,2,1.2346679167822003,0,0.5349254067987204,7,8,M S,Real Sociedad,2,1.2346679167822003,2014/15
2257,Marcelo,34,2930,2,2.260535541921854,7,6.264854699373245,25,50,D S,Real Madrid,2,2.260535541921854,2014/15
2258,Pepe,27,2223,2,0.5333890002220869,2,1.9452765118330717,12,12,D S,Real Madrid,2,0.5333890002220869,2014/15
2269,Koke,34,2885,2,2.9956196444109082,10,7.1350855734199286,44,65,M S,Atletico Madrid,2,2.9956196444109082,2014/15
2286,Pablo Hernández,29,1341,2,2.867391165345907,1,1.1724677179008722,26,15,F M S,Celta Vigo,2,2.867391165345907,2014/15
2290,Iago Aspas,16,438,2,2.635780790820718,1,2.9644097983837128,15,13,F M S,Sevilla,2,2.635780790820718,2014/15
2302,Bruno,24,2085,2,2.1913134306669235,1,1.8784564835950732,23,19,M S,Villarreal,1,1.448035404086113,2014/15
2307,Jonathan dos Santos,28,1627,2,1.0152071947231889,1,1.9366349875926971,15,26,M S,Villarreal,2,1.0152071947231889,2014/15
2308,Denis Suárez,31,1606,2,3.653517073020339,4,3.665084069594741,32,29,M S,Sevilla,2,3.653517073020339,2014/15
2333,Raúl Albentosa,17,1530,2,1.5109354257583618,2,0.9489373043179512,9,4,D,Eibar,2,1.5109354257583618,2014/15
2336,Ignacio Camacho,25,2207,2,1.3097837138921022,2,0.5933315940201283,19,13,M,Malaga,2,1.3097837138921022,2014/15
